30,30,97,97,94,94,57,75,84,44,68,25,25,5,28,28,45,46,81,64,30,40,45,65,14,70,15,45,32,21,30,35,9,83,65,12,35,40,24,63,92,57,54,44,71,47,71,49,32,95,15,28,36,76,41,37,13,16,54,59,24,21,21,21,21,34,70,49,37,91,84,96,89,23,43,34,74,80,72,27,25,77,63,37,56,38,14,25,27,66,34,79,49,48,98,15,14,44,21,21
69,69,58,58,58,58,35,39,22,57,27,28,28,28,37,65,51,42,39,26,6,13,69,35,56,52,17,40,78,52,16,28,11,59,30,30,16,96,10,8,29,13,31,21,6,14,4,14,14,9,10,13,10,20,20,8,13,10,48,17,14,8,8,8,8,17,11,10,13,9,18,33,11,23,5,16,1,19,11,4,20,13,5,10,6,12,3,13,6,15,13,19,12,10,13,22,18,12,14,18
68,68,68,68,68,68,26,58,86,82,16,24,35,34,36,25,40,33,40,23,33,81,45,20,32,39,16,17,49,9,65,66,34,49,37,16,9,42,28,10,18,10,51,46,76,48,14,9,18,5,73,98,39,89,18,34,11,25,40,66,71,39,39,39,39,47,58,24,67,81,30,68,73,41,7,27,34,28,28,23,50,40,69,55,27,51,39,54,42,79,52,91,45,86,8,31,35,20,49,54
32,32,32,32,32,32,48,28,88,45,49,17,17,17,36,43,14,21,33,55,13,36,35,9,55,35,15,16,9,25,38,8,19,22,58,27,17,7,15,10,29,20,31,15,55,18,30,31,42,40,37,43,38,22,27,14,86,18,33,11,29,15,15,15,15,16,4,61,56,36,17,53,17,22,31,42,35,53,38,23,12,46,44,12,5,9,9,45,18,15,22,15,45,26,8,7,11,12,38,24
56,56,49,49,49,49,63,26,27,24,25,12,12,12,5,6,6,2,11,14,15,8,11,13,2,4,8,21,7,8,13,5,18,2,13,2,12,3,5,26,3,13,14,23,4,34,31,6,19,4,4,23,4,20,13,6,8,21,38,8,23,13,13,13,13,8,13,17,5,14,12,6,39,7,6,4,9,16,6,7,23,15,42,31,15,15,36,12,8,32,8,19,11,11,22,18,6,19,7,33
37,37,37,37,37,37,44,45,22,22,15,33,32,32,9,20,21,37,34,7,47,16,10,35,24,92,12,48,25,44,21,16,15,60,35,24,22,62,11,19,40,26,1,20,74,62,34,66,21,39,52,37,11,28,28,23,6,15,23,13,23,22,22,22,22,5,71,39,71,24,74,58,33,84,59,25,6,20,36,63,34,18,18,61,78,53,51,59,45,21,14,14,20,38,27,8,51,16,13,27
5,5,5,5,5,5,31,7,15,15,18,18,18,18,13,8,12,10,8,16,11,47,24,16,7,11,18,12,8,25,15,15,18,13,11,18,9,17,10,13,11,16,12,14,27,7,5,22,12,9,12,20,14,7,20,5,12,16,10,11,11,20,20,20,20,17,4,1,10,14,9,31,5,22,20,30,22,13,21,11,8,19,18,14,33,12,13,12,16,27,10,18,30,19,3,15,15,3,19,4
20,20,20,35,35,35,66,37,27,27,19,19,19,19,17,22,50,34,38,25,36,25,16,52,31,13,44,11,40,35,13,17,35,8,17,13,7,6,40,30,13,8,14,24,25,27,10,18,10,28,17,23,48,5,12,6,26,34,21,3,13,16,16,16,16,37,14,11,34,26,65,24,26,47,27,24,15,47,15,8,29,11,20,39,8,20,21,59,6,17,45,51,3,29,18,9,10,25,12,19
28,28,28,28,28,28,60,15,51,41,42,21,21,21,33,11,20,50,13,98,34,48,82,19,30,25,46,16,49,21,9,11,31,13,18,29,41,10,24,15,40,29,14,28,24,39,29,32,75,48,44,95,24,17,29,27,9,15,36,33,25,14,14,14,14,26,22,48,30,11,18,7,19,80,27,40,18,30,6,30,10,44,10,23,52,60,34,15,32,38,20,19,21,16,24,6,17,15,18,15
72,72,72,61,61,61,68,34,48,48,22,22,22,22,66,90,16,25,50,94,52,32,28,65,7,34,10,15,60,25,72,40,27,54,11,35,13,48,13,16,32,89,63,34,19,35,88,2,56,20,9,66,60,89,17,26,28,53,19,47,68,48,48,48,48,64,37,61,32,31,7,38,38,76,23,61,41,48,29,15,57,24,53,40,15,60,40,23,36,68,39,24,37,54,46,22,60,27,29,17
8,8,8,8,8,8,21,49,20,20,11,11,11,11,5,13,19,15,17,37,30,25,17,14,17,16,8,23,13,13,8,38,11,7,21,8,13,14,11,23,9,23,57,27,45,2,14,20,24,7,21,16,9,33,45,22,20,21,10,14,20,29,27,27,27,22,18,17,12,25,10,4,18,15,33,13,22,14,10,27,2,24,15,10,10,4,32,21,55,21,19,45,22,16,39,17,22,9,4,3
26,26,26,26,26,26,18,20,30,30,20,20,20,20,28,24,10,12,18,3,15,6,12,13,10,14,14,15,26,19,19,16,27,22,17,21,9,4,26,17,3,7,4,8,26,8,14,13,8,19,11,22,20,13,36,13,35,27,41,8,11,21,21,21,21,13,13,12,38,23,14,17,14,23,12,26,11,25,3,8,14,8,4,13,11,20,11,8,2,10,7,7,5,6,11,14,37,30,6,5
16,16,16,16,16,16,4,24,4,4,18,18,18,18,15,7,12,11,7,17,34,12,16,10,2,6,17,8,2,7,17,27,10,14,12,23,51,35,16,13,9,16,16,12,22,14,17,13,10,22,30,6,5,25,7,19,28,7,8,3,7,5,5,5,5,28,7,7,16,17,16,35,23,24,4,6,22,15,6,12,5,19,26,8,12,22,12,7,15,22,10,26,5,26,7,10,10,21,26,25
2,2,2,2,2,2,1,14,3,3,6,6,6,6,10,4,15,8,2,8,6,6,12,10,12,11,11,10,42,7,7,28,16,22,34,33,7,19,8,11,35,7,12,23,28,63,14,13,12,21,17,48,25,35,54,39,13,26,9,15,17,46,46,46,46,28,41,19,30,5,2,26,46,13,8,10,19,20,25,15,17,12,16,29,18,4,9,6,6,17,15,9,9,12,24,13,24,10,25,9
65,65,65,43,43,43,9,14,11,11,17,17,17,17,10,24,21,59,30,4,17,50,13,40,25,41,12,11,21,9,14,25,10,32,10,7,14,5,12,6,15,36,24,46,29,58,6,10,36,7,13,26,34,6,7,11,38,23,9,36,40,23,23,23,23,45,42,42,27,14,33,38,23,33,28,11,40,49,49,23,3,47,30,50,44,77,54,10,15,21,30,30,53,75,70,17,27,42,37,10
65,64,55,55,44,44,49,75,33,33,24,24,24,24,49,19,28,64,38,51,5,10,7,36,51,23,9,23,35,21,16,29,23,53,64,32,39,32,15,43,36,7,12,14,38,22,5,7,30,17,47,57,62,13,90,8,3,27,34,39,48,32,32,32,32,28,43,29,30,26,30,4,29,33,7,38,27,19,18,43,8,5,14,43,35,33,16,10,16,40,22,29,5,31,18,9,12,26,24,18
51,51,33,33,33,33,58,51,22,22,22,22,22,22,22,52,15,71,93,16,31,21,9,24,25,8,45,16,21,63,20,16,37,3,32,5,29,27,48,33,11,16,48,12,46,54,9,64,16,35,5,33,13,42,12,27,41,43,32,23,48,36,36,36,4,57,14,26,21,25,8,51,55,36,47,68,33,34,32,35,19,31,37,40,83,18,41,40,21,25,19,23,10,31,14,22,52,41,28,36
6,6,6,46,46,41,11,11,25,25,43,43,33,33,31,15,26,70,18,19,22,77,18,31,13,40,38,17,18,34,32,34,56,31,3,15,13,11,21,33,31,29,22,45,43,58,17,61,30,12,24,30,24,61,39,14,14,14,14,11,38,46,46,46,46,15,28,50,29,31,19,58,47,38,30,13,30,31,11,12,33,14,43,30,16,8,9,9,26,20,61,7,35,53,39,26,26,8,39,20
16,16,16,6,6,6,34,8,20,20,18,18,18,18,28,12,10,16,8,7,10,10,13,1,27,11,8,8,23,5,6,15,11,6,4,8,24,23,20,14,6,12,5,15,2,9,22,18,8,18,2,4,13,6,42,13,16,19,13,18,1,4,4,4,4,19,10,8,6,4,8,14,2,16,14,15,19,3,9,15,40,12,15,3,8,19,11,19,8,6,15,11,17,15,32,6,3,6,14,24
32,32,30,15,15,15,11,18,16,16,7,7,7,7,11,8,6,14,3,21,18,7,11,13,23,22,9,2,7,5,3,3,4,9,5,6,28,23,12,8,9,5,19,14,21,15,4,27,11,17,25,3,5,10,10,4,8,5,6,8,14,12,12,12,12,26,4,30,9,6,31,6,5,36,14,13,9,5,15,5,24,2,5,12,10,22,21,9,10,32,9,10,14,3,5,10,15,21,23,23
21,21,21,21,20,20,21,12,5,5,10,10,10,10,6,28,23,21,17,19,15,3,23,19,3,17,3,4,35,10,17,12,7,13,7,20,14,6,12,3,19,3,13,3,20,18,3,12,13,19,10,34,9,7,3,12,4,30,5,16,16,14,14,14,14,26,10,10,6,29,6,12,7,28,30,5,7,6,8,13,4,8,6,9,11,6,10,4,9,1,13,6,30,9,3,13,18,9,15,26
53,53,53,48,48,48,23,24,50,50,22,22,22,22,57,62,5,32,3,17,16,40,21,15,27,23,2,5,21,8,18,18,13,20,8,5,18,10,27,6,41,10,16,10,7,8,12,7,48,15,28,22,5,21,44,4,13,29,43,8,49,26,26,26,26,2,16,27,31,6,14,25,54,33,28,7,21,9,45,35,60,33,65,3,21,2,7,6,34,21,3,15,22,35,4,23,4,8,7,33
18,18,18,18,18,18,53,17,39,39,13,13,13,13,6,20,9,15,12,85,25,15,16,52,33,9,3,3,3,12,14,20,2,33,18,6,38,31,33,11,27,56,33,17,15,59,52,10,22,26,6,31,15,47,53,21,18,54,27,25,22,10,10,10,10,47,31,13,41,51,37,57,23,16,16,24,10,21,25,11,64,21,4,51,33,20,15,100,16,4,34,51,8,39,13,21,6,14,11,5
