Time,X(m),Y(m),Z(m)
517,-3226394.30180182,5325758.80158001,2935560.09285666
518,-3226498.3472662,5325752.60624978,2935457.33262429
519,-3226602.39117849,5325746.40863117,2935354.57095313
520,-3226706.43353862,5325740.20872421,2935251.80784323
521,-3226810.47434655,5325734.00652887,2935149.04329465
522,-3226914.51364551,5325727.80201893,2935046.27730744
523,-3227018.55134892,5325721.59524686,2934943.50988164
524,-3227122.58804601,5325715.38615483,2934840.74047608
525,-3227226.6214661,5325709.17492163,2934737.97125573
526,-3227330.63893026,5325702.97072708,2934635.19951448
527,-3227434.67046738,5325696.75477559,2934532.42633486
528,-3227538.70036546,5325690.53658787,2934429.65171744
529,-3227642.72816501,5325684.31614341,2934326.87620299
530,-3227746.75500122,5325678.09335302,2934224.09870852
531,-3227850.78028478,5325671.86827425,2934121.31977588
532,-3227954.80464818,5325665.64082296,2934018.53886383
533,-3228058.82682632,5325659.4111674,2933915.75705497
534,-3228162.84686248,5325653.17928139,2933812.97434938
535,-3228266.86534583,5325646.94510701,2933710.19020582
536,-3228370.86724031,5325640.71805824,2933607.40408303
537,-3228474.88325043,5325634.47922321,2933504.61652237
538,-3228578.89766432,5325628.23812603,2933401.82752388
539,-3228682.91052522,5325621.99474045,2933299.03708761
540,-3228786.92237898,5325615.74903472,2933196.24467226
541,-3228890.93213376,5325609.50107233,2933093.45136058
542,-3228994.9403787,5325603.2507953,2932990.65661127
543,-3229098.94702719,5325596.99825612,2932887.86042438
544,-3229202.95153333,5325590.74348658,2932785.06334134
545,-3229306.95448626,5325584.48642836,2932682.26482137
546,-3229410.94084996,5325578.23649895,2932579.46432207
547,-3229514.94132866,5325571.97478023,2932476.66238539
548,-3229618.94079981,5325565.71074123,2932373.85846998
549,-3229722.93812841,5325559.44447191,2932271.05365869
550,-3229826.93390353,5325553.17591418,2932168.24741018
551,-3229930.92816842,5325546.90504179,2932065.4397245
552,-3230034.92079318,5325540.63193348,2931962.63060169
553,-3230138.91190762,5325534.35651051,2931859.82004181
554,-3230242.90092264,5325528.07883105,2931757.00858635
555,-3230346.88829741,5325521.7989157,2931654.19569394
556,-3230450.85971496,5325515.5260473,2931551.38028169
557,-3230554.84465784,5325509.2414447,2931448.56397403
558,-3230658.82800362,5325502.95457993,2931345.74622954
559,-3230762.80979554,5325496.66542674,2931242.92704828
560,-3230866.79003353,5325490.37398512,2931140.10643031
561,-3230970.76876085,5325484.0802288,2931037.28437566
562,-3231074.74589092,5325477.78421001,2930934.46088492
563,-3231178.72087795,5325471.48596109,2930831.63649913
564,-3231282.69494315,5325465.18533949,2930728.81013478
565,-3231386.65174294,5325458.89196274,2930625.98233396
566,-3231490.6220676,5325452.58684918,2930523.15363826
567,-3231594.59147029,5325446.27936258,2930420.32296466
568,-3231698.55923215,5325439.96964007,2930317.49085475
569,-3231802.52552626,5325433.65757659,2930214.65730856
570,-3231906.49017946,5325427.3432772,2930111.82232616
571,-3232010.45336482,5325421.02663683,2930008.98590759
572,-3232114.41554137,5325414.70767586,2929906.14751132
573,-3232218.37557451,5325408.38648485,2929803.30822056
574,-3232322.33350752,5325402.06303756,2929700.46803539
575,-3232426.27476378,5325395.74677976,2929597.62587266
576,-3232530.22954436,5325389.41878218,2929494.78281563
577,-3232634.18340244,5325383.08841142,2929391.93778112
578,-3232738.13566254,5325376.75577848,2929289.0913108
579,-3232842.08641117,5325370.4208308,2929186.24340472
580,-3232946.0361506,5325364.08356211,2929083.39352181
581,-3233049.98370303,5325357.74409006,2928980.54274435
582,-3233153.92974387,5325351.40230326,2928877.69053126
583,-3233257.87422977,5325345.05822801,2928774.83688262
584,-3233361.81661518,5325338.71189658,2928671.98234015
585,-3233465.7423235,5325332.37275756,2928569.12582054
586,-3233569.68155561,5325326.02187582,2928466.26840722
587,-3233673.61986469,5325319.66862075,2928363.40901684
588,-3233777.55716413,5325313.31304486,2928260.54764945
589,-3233881.49236288,5325306.95521283,2928157.6853885
590,-3233985.42596311,5325300.5951186,2928054.82169235
591,-3234089.35800807,5325294.23273591,2927951.95656103
592,-3234193.28849771,5325287.86806473,2927849.0899946
593,-3234297.2173887,5325281.50113136,2927746.22199311
594,-3234401.14422212,5325275.13191565,2927643.35309837
595,-3234505.05505339,5325268.76978397,2927540.48168517
596,-3234608.97864609,5325262.39607017,2927437.60992111
597,-3234712.90081307,5325256.01998936,2927334.73672167
598,-3234816.82196993,5325249.64158731,2927231.8615462
599,-3234920.74161441,5325243.2608708,2927128.98493543
600,-3235024.65965995,5325236.87789209,2927026.10688996
601,-3235128.57614976,5325230.49262489,2926923.22740984
602,-3235232.49108382,5325224.1050692,2926820.34649511
603,-3235336.40446207,5325217.71522501,2926717.46414582
604,-3235440.30070379,5325211.3325587,2926614.58036204
605,-3235544.21097032,5325204.93813783,2926511.69514379
606,-3235648.11963764,5325198.54145476,2926408.80849115
607,-3235752.02624692,5325192.14248946,2926305.920946
608,-3235855.93184553,5325185.74120311,2926203.03142471
609,-3235959.83588806,5325179.33762825,2926100.14046916
610,-3236063.73837449,5325172.93176489,2925997.24807942
611,-3236167.63930476,5325166.52361303,2925894.35425552
612,-3236271.53926742,5325160.11311372,2925791.45845563
613,-3236375.43708524,5325153.70038483,2925688.56176357
614,-3236479.31717774,5325147.29489549,2925585.66417995
615,-3236583.21188298,5325140.87758989,2925482.76461995
616,-3236687.10503184,5325134.45799579,2925379.86362605
617,-3236790.99603574,5325128.03617216,2925276.96174022
618,-3236894.88607173,5325121.61200104,2925174.05787868
619,-3236998.77459449,5325115.18551509,2925071.1525834
620,-3237102.66210594,5325108.7567079,2924968.24531246
621,-3237206.54742899,5325102.32569752,2924865.33714983
622,-3237310.43123869,5325095.89237231,2924762.42755358
623,-3237414.31353498,5325089.45673226,2924659.5165238
624,-3237518.17806246,5325083.02836153,2924556.6046025
625,-3237622.05715872,5325076.58819738,2924453.69070578
626,-3237725.93474146,5325070.14571839,2924350.77537567
627,-3237829.81076733,5325063.70095087,2924247.85861221
628,-3237933.6852363,5325057.25389482,2924144.94041546
629,-3238037.55819161,5325050.80452392,2924042.02078546
630,-3238141.42954667,5325044.35289049,2923939.0997228
631,-3238245.29875626,5325037.89902802,2923836.1777685
632,-3238349.16699723,5325031.44281754,2923733.25383961
633,-3238453.03372432,5325024.98429251,2923630.32847715
634,-3238556.88263916,5325018.53306628,2923527.40222375
635,-3238660.74620863,5325012.06999081,2923424.47399536
636,-3238764.60880923,5325005.60456756,2923321.54379201
637,-3238868.46863249,5324999.13700057,2923218.61323996
638,-3238972.32753007,5324992.66705947,2923115.68071305
639,-3239076.18491354,5324986.1948035,2923012.7467534
640,-3239180.04069631,5324979.7202853,2922909.81136106
641,-3239283.89496489,5324973.24345224,2922806.87453608
642,-3239387.74758939,5324966.76438327,2922703.93627852
643,-3239491.58307637,5324960.29250398,2922600.99658841
644,-3239595.43267228,5324953.80880556,2922498.05546582
645,-3239699.28066727,5324947.32284491,2922395.11291079
646,-3239803.12710456,5324940.83459571,2922292.16892338
647,-3239906.97198413,5324934.34405795,2922189.22350362
648,-3240010.81471766,5324927.85129071,2922086.27719427
649,-3240114.6565249,5324921.35614951,2921983.32891
650,-3240218.49668772,5324914.85877242,2921880.37919355
651,-3240322.33596744,5324908.35899466,2921777.42750278
652,-3240426.17305767,5324901.85701409,2921674.4749221
653,-3240529.99233533,5324895.36233835,2921571.52145159
654,-3240633.82635282,5324888.85575462,2921468.5660069
655,-3240737.65876894,5324882.34690867,2921365.60913028
656,-3240841.48967021,5324875.83574781,2921262.65082177
657,-3240945.31892676,5324869.32235105,2921159.69108143
658,-3241049.14608016,5324862.8066989,2921056.73045155
659,-3241152.97289498,5324856.28861279,2920953.76730546
660,-3241256.79752001,5324849.76832397,2920850.80326993
661,-3241360.62062997,5324843.24572023,2920747.83780277
662,-3241464.44209498,5324836.7208806,2920644.87090403
663,-3241568.24583382,5324830.20329627,2920541.90311603
664,-3241672.06426849,5324823.6738271,2920438.93335429
665,-3241775.88051326,5324817.142155,2920335.96270393
666,-3241879.6957876,5324810.60813471,2920232.99007992
667,-3241983.5095033,5324804.07182615,2920130.01602405
668,-3242087.32161706,5324797.53325534,2920027.0405369
669,-3242191.13225868,5324790.99234326,2919924.06361853
670,-3242294.94129827,5324784.44916893,2919821.08526898
671,-3242398.74882236,5324777.90367965,2919718.1054883
672,-3242502.53907837,5324771.36546787,2919615.12427655
673,-3242606.34285341,5324764.81548779,2919512.14217612
674,-3242710.14570089,5324758.26313304,2919409.15810238
675,-3242813.94694613,5324751.70851605,2919306.17259771
676,-3242917.7472637,5324745.15152436,2919203.18511979
677,-3243021.54539086,5324738.59233016,2919100.19675342
678,-3243125.34132763,5324732.0309335,2918997.20749865
679,-3243229.13633658,5324725.46716211,2918894.21627079
680,-3243332.92978634,5324718.90110211,2918791.22361226
681,-3243436.72172015,5324712.33272715,2918688.2295231
682,-3243540.49642892,5324705.77160637,2918585.23400338
683,-3243644.28515764,5324699.19870691,2918482.23705366
684,-3243748.07241353,5324692.62346643,2918379.23867294
685,-3243851.85806673,5324686.0459637,2918276.23886181
686,-3243955.64220376,5324679.46614598,2918173.2376203
687,-3244059.42473803,5324672.88406602,2918070.23494847
688,-3244163.20571276,5324666.29969744,2917967.23084638
689,-3244266.98453997,5324659.71310017,2917864.22585653
690,-3244370.76235224,5324653.12418074,2917761.21889406
691,-3244474.53927931,5324646.53286,2917658.20995899
692,-3244578.29843645,5324639.94883005,2917555.20013632
693,-3244682.07102495,5324633.35307865,2917452.18942615
694,-3244785.84259831,5324626.75500504,2917349.1767435
695,-3244889.6126551,5324620.15461643,2917246.16263095
696,-3244993.38119528,5324613.55191282,2917143.14708853
697,-3245097.14813226,5324606.94694695,2917040.1301163
698,-3245200.91350926,5324600.33969246,2916937.11171431
699,-3245304.67615055,5324593.73026912,2916834.09296822
700,-3245408.43899538,5324587.11837702,2916731.07116483
701,-3245512.19973548,5324580.50423026,2916628.04847386
702,-3245615.94325005,5324573.89734377,2916525.02435332
703,-3245719.70023873,5324567.27870652,2916421.99934584
704,-3245823.45625501,5324560.65772055,2916318.97236634
705,-3245927.21071101,5324554.03444593,2916215.94395742
706,-3246030.96364995,5324547.4088563,2916112.91411915
707,-3246134.71552978,5324540.78097063,2916009.88230896
708,-3246238.46530467,5324534.15083008,2915906.84961211
709,-3246342.21293132,5324527.51846107,2915803.81602867
710,-3246445.95958526,5324520.88374324,2915700.78047346
711,-3246549.68905672,5324514.25626202,2915597.74348914
712,-3246653.43263283,5324507.61694081,2915494.70507576
713,-3246757.17401728,5324500.97541757,2915391.66577603
714,-3246860.91442881,5324494.33154546,2915288.6245047
715,-3246964.65386735,5324487.68532443,2915185.5812618
716,-3247068.39120067,5324481.03684861,2915082.5371327
717,-3247172.12692993,5324474.38611021,2914979.49157532
718,-3247275.86109832,5324467.73308346,2914876.44458866
719,-3247379.59307483,5324461.07785476,2914773.39671599
720,-3247483.3241214,5324454.42025071,2914670.34687198
721,-3247587.03802851,5324447.7698599,2914567.29559937
722,-3247690.76599636,5324441.10765243,2914464.24289821
723,-3247794.49231659,5324434.44320909,2914361.18876854
724,-3247898.21711898,5324427.77645069,2914258.13321042
725,-3248001.94036022,5324421.10740362,2914155.0762239
726,-3248105.66208352,5324414.43604149,2914052.01780903
727,-3248209.38220231,5324407.76241708,2913948.95796586
728,-3248313.10080309,5324401.0864776,2913845.89669444
729,-3248416.81779925,5324394.40827585,2913742.83399482
730,-3248520.53260317,5324387.72787227,2913639.77040983
731,-3248624.2314426,5324381.05456407,2913536.70431118
732,-3248727.9437978,5324374.36947019,2913433.63732727
733,-3248831.65337309,5324367.68223471,2913330.57000149
734,-3248935.36256197,5324360.99258991,2913227.50016164
735,-3249039.07014602,5324354.30068252,2913124.42889444
736,-3249142.77625494,5324347.60643395,2913021.35619885
737,-3249246.48075891,5324340.9099231,2912918.28207547
738,-3249350.18374442,5324334.21109715,2912815.20652434
739,-3249453.88571242,5324327.50994837,2912712.12900268
740,-3249557.58490027,5324320.80665843,2912609.05113906
741,-3249661.26757899,5324314.11050082,2912505.971305
742,-3249764.9642739,5324307.40254683,2912402.89004341
743,-3249868.65881937,5324300.69236478,2912299.80789719
744,-3249972.35243363,5324293.97980701,2912196.72378066
745,-3250076.04439931,5324287.26501338,2912093.63823674
746,-3250179.73488946,5324280.54787822,2911990.55126549
747,-3250283.4243184,5324273.82844653,2911887.46232403
748,-3250387.11168426,5324267.10673396,2911784.37249823
749,-3250490.79744463,5324260.38275911,2911681.28124525
750,-3250594.46543414,5324253.66609339,2911578.18910805
751,-3250698.14807002,5324246.93754115,2911475.09500138
752,-3250801.82914352,5324240.20670051,2911371.99946714
753,-3250905.50806723,5324233.47363191,2911268.90304886
754,-3251009.18605921,5324226.73818745,2911165.8046607
755,-3251112.86303284,5324220.00041994,2911062.70430268
756,-3251216.53785655,5324213.26042447,2910959.60306079
757,-3251320.2111177,5324206.51814029,2910856.50039212
758,-3251423.88285952,5324199.77354098,2910753.39629671
759,-3251527.55299542,5324193.02667938,2910650.29077462
760,-3251631.20531703,5324186.28715649,2910547.18436889
761,-3251734.8723708,5324179.53569135,2910444.07599359
762,-3251838.53781852,5324172.78196392,2910340.96619175
763,-3251942.20166015,5324166.0259742,2910237.85496343
764,-3252045.86402546,5324159.2676429,2910134.74230868
765,-3252149.52478458,5324152.50704931,2910031.62822755
766,-3252253.18398075,5324145.744167,2909928.51272009
767,-3252356.84161393,5324138.97899597,2909825.39578635
768,-3252460.49714007,5324132.2115704,2909722.27796997
769,-3252564.15164716,5324125.44182162,2909619.15818435
770,-3252667.78897031,5324118.67932763,2909516.03697208
771,-3252771.44035108,5324111.905002,2909412.91433373
772,-3252875.08958138,5324105.12844864,2909309.79081244
773,-3252978.73783569,5324098.34954556,2909206.66532209
774,-3253082.38456996,5324091.56832732,2909103.53840581
775,-3253186.02969761,5324084.78484678,2909000.41006366
776,-3253289.6732186,5324077.99910395,2908897.28029569
777,-3253393.31521942,5324071.21104593,2908794.14910193
778,-3253496.95570004,5324064.42067274,2908691.01648246
779,-3253600.59516106,5324057.62797617,2908587.88189416
780,-3253704.21685073,5324050.84259818,2908484.74642338
781,-3253807.85201021,5324044.0454466,2908381.61007018
782,-3253911.48560604,5324037.24600631,2908278.47229148
783,-3254015.11822536,5324030.44421617,2908175.33254415
784,-3254118.74932421,5324023.64011084,2908072.19137139
785,-3254222.37881603,5324016.83374289,2907969.04877379
786,-3254326.00674399,5324010.02508651,2907865.90475034
787,-3254429.63369521,5324003.21408019,2907762.75875842
788,-3254533.25849538,5323996.40084629,2907659.61188448
789,-3254636.86615445,5323989.59484618,2907556.46358537
790,-3254740.48782667,5323982.77703508,2907453.31386113
791,-3254844.10734774,5323975.95699646,2907350.16325507
792,-3254947.72526145,5323969.13469557,2907247.01122401
793,-3255051.34224141,5323962.31001822,2907143.85722473
794,-3255154.95770046,5323955.48302567,2907040.70180055
795,-3255258.57213907,5323948.65370952,2906937.54440824
796,-3255362.18442635,5323941.82216589,2906834.38613436
797,-3255465.79514931,5323934.98833349,2906731.22643572
798,-3255569.40435119,5323928.15218587,2906628.06531237
799,-3255672.99632521,5323921.32332797,2906524.90276436
800,-3255776.602355,5323914.48262957,2906421.73879173
801,-3255880.20623328,5323907.63970378,2906318.57393785
802,-3255983.80796007,5323900.79455031,2906215.40820332
803,-3256087.40988333,5323893.94692395,2906112.23941438
804,-3256191.00965493,5323887.09707051,2906009.06974382
805,-3256294.60786186,5323880.24492829,2905905.8986489
806,-3256398.20450408,5323873.3904973,2905802.72612967
807,-3256501.79958156,5323866.53377753,2905699.55218618
808,-3256605.39313752,5323859.67474252,2905596.37681849
809,-3256708.96946538,5323852.82300027,2905493.20002663
810,-3256812.55984836,5323845.95941447,2905390.02181066
811,-3256916.14925336,5323839.0934784,2905286.84162725
812,-3257019.7353326,5323832.22543804,2905183.66165001
813,-3257123.32102069,5323825.35498591,2905080.47916203
814,-3257226.905187,5323818.48221852,2904977.29525015
815,-3257330.48774493,5323811.60718882,2904874.10991441
816,-3257434.068781,5323804.72984386,2904770.92315487
817,-3257537.64812207,5323797.85028953,2904667.73497158
818,-3257641.22602771,5323790.96836699,2904564.54536458
819,-3257744.78733516,5323784.09365217,2904461.35379048
820,-3257848.36202373,5323777.20720498,2904358.16133675
821,-3257951.93519016,5323770.31844283,2904254.96745894
822,-3258055.5056175,5323763.42751515,2904151.77324456
823,-3258159.07569636,5323756.53414895,2904048.57651981
824,-3258262.64416646,5323749.63852044,2903945.37837166
825,-3258366.21107103,5323742.74060313,2903842.17880016
826,-3258469.77645328,5323735.84037053,2903738.97780536
827,-3258573.34081344,5323728.93781392,2903635.77484381
828,-3258676.88735825,5323722.04261752,2903532.57100256
829,-3258780.44804351,5323715.1355188,2903429.36573816
830,-3258884.00711975,5323708.22615777,2903326.15905067
831,-3258987.56467345,5323701.31448145,2903222.95094013
832,-3259091.11935799,5323694.4007193,2903119.74249368
833,-3259194.67377998,5323687.48446538,2903016.53153721
834,-3259298.22659277,5323680.56594914,2902913.31915785
835,-3259401.77842632,5323673.64508229,2902810.10481208
836,-3259505.32756369,5323666.72202343,2902706.89013117
837,-3259608.87567842,5323659.79664075,2902603.67348343
838,-3259712.40656441,5323652.87855932,2902500.45541353
839,-3259815.95159018,5323645.94857283,2902397.23592046
840,-3259919.49500649,5323639.016324,2902294.01500479
841,-3260023.03689983,5323632.08175987,2902190.79266658
842,-3260126.57601026,5323625.14505719,2902087.56999312
843,-3260230.11531441,5323618.20588003,2901984.34426637
844,-3260333.65246552,5323611.26447594,2901881.11766086
845,-3260437.18800694,5323604.32080952,2901777.889633
846,-3260540.72206844,5323597.37480128,2901674.66018286
847,-3260644.25452018,5323590.42653072,2901571.42931048
848,-3260747.76974291,5323583.48556475,2901468.19701591
849,-3260851.2991048,5323576.53269033,2901364.96329921
850,-3260954.8268568,5323569.57755358,2901261.72816042
851,-3261058.35367199,5323562.62003949,2901158.49105591
852,-3261161.87770399,5323555.66038709,2901055.25361678
853,-3261265.40016925,5323548.69844587,2900952.01475575
854,-3261368.92165433,5323541.7341535,2900848.77392966
855,-3261472.44157252,5323534.76757259,2900745.53168121
856,-3261575.95996709,5323527.79867635,2900642.28801098
857,-3261679.47670819,5323520.82754428,2900539.04291901
858,-3261782.97630658,5323513.86366681,2900435.79640537
859,-3261886.49058676,5323506.88784224,2900332.54792635
860,-3261990.00267006,5323499.90981743,2900229.29856949
861,-3262093.51318626,5323492.92950377,2900126.04779109
862,-3262197.02154878,5323485.94696342,2900022.79613499
863,-3262300.52834412,5323478.96213425,2899919.54305748
864,-3262404.03415873,5323471.97495408,2899816.28801482
865,-3262507.53840606,5323464.98548507,2899713.03155083
866,-3262611.04112931,5323457.99370069,2899609.77366557
867,-3262714.52720959,5323451.00916445,2899506.51381527
868,-3262818.0267548,5323444.01282917,2899403.2530876
869,-3262921.52473255,5323437.01420504,2899299.9909388
870,-3263025.02055639,5323430.013354,2899196.7279133
871,-3263128.51544235,5323423.01012565,2899093.46292241
872,-3263232.00813107,5323416.00469693,2898990.19705492
873,-3263335.49920887,5323408.99700622,2898886.929766
874,-3263438.98934868,5323401.98693784,2898783.66051237
875,-3263542.47850717,5323394.97451829,2898680.38929404
876,-3263645.96555475,5323387.95984565,2898577.11719881
877,-3263749.43537264,5323380.9524864,2898473.84368285
878,-3263852.91924131,5323373.93326287,2898370.56874622
879,-3263956.40154207,5323366.91175047,2898267.29238898
880,-3264059.88227489,5323359.8879492,2898164.01461117
881,-3264163.36148299,5323352.86183254,2898060.73541284
882,-3264266.83849345,5323345.83351594,2897957.45533796
883,-3264370.31452219,5323338.80284808,2897854.17329876
884,-3264473.78898281,5323331.76989134,2897750.88983919
885,-3264577.26183201,5323324.73467227,2897647.6049593
886,-3264680.73319953,5323317.69711126,2897544.31865915
887,-3264784.18738041,5323310.66684013,2897441.03093878
888,-3264887.65556818,5323303.62472789,2897337.74179879
889,-3264991.12214431,5323296.58035362,2897234.45123815
890,-3265094.58719533,5323289.53366394,2897131.15925744
891,-3265198.05072119,5323282.48465884,2897027.86585673
892,-3265301.51263532,5323275.43339139,2896924.57103606
893,-3265404.9730242,5323268.37980853,2896821.27479547
894,-3265508.43117176,5323261.32405241,2896717.97767903
895,-3265611.88842349,5323254.26589179,2896614.67859879
896,-3265715.32844511,5323247.21505031,2896511.37809878
897,-3265818.78251627,5323240.15233876,2896408.07617907
898,-3265922.23501871,5323233.08733832,2896304.7728397
899,-3266025.68653857,5323226.01998636,2896201.46753668
900,-3266129.13590341,5323218.95040813,2896098.16135814
901,-3266232.58315647,5323211.87857711,2895994.85430415
902,-3266336.02934028,5323204.80444765,2895891.54528666
903,-3266439.47404168,5323197.72797621,2895788.23484977
904,-3266542.91595853,5323190.64936748,2895684.9240822
905,-3266646.35747865,5323183.56834481,2895581.61080667
906,-3266749.78181172,5323176.49461746,2895478.2961124
907,-3266853.2207798,5323169.40895457,2895374.97945431
908,-3266956.65759257,5323162.3210655,2895271.66192116
909,-3267060.09283612,5323155.23088753,2895168.3429689
910,-3267163.52651043,5323148.13842065,2895065.0225976
911,-3267266.95807259,5323141.04370109,2894961.70135143
912,-3267370.38860826,5323133.94665642,2894858.37814219
913,-3267473.81761781,5323126.84729629,2894755.05351405
914,-3267577.24438532,5323119.74576317,2894651.72801121
915,-3267680.67079879,5323112.64178896,2894548.40000127
916,-3267784.07948212,5323105.54514966,2894445.07111674
917,-3267887.50217045,5323098.43666075,2894341.74081351
918,-3267990.92328918,5323091.32588292,2894238.40909163
919,-3268094.34283826,5323084.21281619,2894135.07595117
920,-3268197.76077438,5323077.0974871,2894031.74139215
921,-3268301.17664128,5323069.97987888,2893928.40595886
922,-3268404.59148117,5323062.85994541,2893825.06856292
923,-3268508.00538053,5323055.73763321,2893721.72920489
924,-3268611.41649472,5323048.61318484,2893618.38951644
925,-3268714.826625,5323041.48638461,2893515.04786548
926,-3268818.21956775,5323034.36688605,2893411.70479627
927,-3268921.62655811,5323027.23550828,2893308.36030888
928,-3269025.03202169,5323020.10181503,2893205.01440334
929,-3269128.43587192,5323012.96585941,2893101.66707972
930,-3269231.83869471,5323005.82757841,2892998.31779379
931,-3269335.2388187,5322998.68710796,2892894.96817842
932,-3269438.63795842,5322991.54428557,2892791.61660083
933,-3269542.03557114,5322984.39914767,2892688.26360536
934,-3269645.43157031,5322977.25174741,2892584.90919206
935,-3269748.80975255,5322970.1117412,2892481.55390529
936,-3269852.20265427,5322962.95973682,2892378.19665647
937,-3269955.59394228,5322955.80547008,2892274.83798997
938,-3270058.98311724,5322948.64895064,2892171.47845071
939,-3270162.37185014,5322941.49004291,2892068.11640466
940,-3270265.75842663,5322934.32890905,2891964.75348595
941,-3270369.14284662,5322927.16554972,2891861.38969359
942,-3270472.52623857,5322919.99986488,2891758.02393943
943,-3270575.90814634,5322912.83183795,2891654.65676791
944,-3270679.28844011,5322905.66154865,2891551.28817905
945,-3270782.65100334,5322898.4986034,2891447.91871731
946,-3270886.02811227,5322891.32376311,2891344.54729396
947,-3270989.40427939,5322884.14654405,2891241.17390902
948,-3271092.77833305,5322876.96707269,2891137.79965136
949,-3271196.1507725,5322869.78533897,2891034.42397661
950,-3271299.52164094,5322862.60131629,2890931.04688485
951,-3271402.89035256,5322855.41506796,2890827.66892054
952,-3271506.25807887,5322848.2264674,2890724.28899489
953,-3271609.62427731,5322841.0355513,2890620.90765236
954,-3271712.98944706,5322833.8423095,2890517.52434855
955,-3271816.33625712,5322826.6565048,2890414.14071689
956,-3271919.69769867,5322819.45874872,2890310.75512404
957,-3272023.05756894,5322812.25870338,2890207.36811506
958,-3272126.41591108,5322805.0563428,2890103.97968892
959,-3272229.77259532,5322797.85174644,2890000.58984622
960,-3272333.12775137,5322790.64483453,2889897.198587
961,-3272436.48075026,5322783.43569708,2889793.80645581
962,-3272539.83334899,5322776.22414383,2889690.4118192
963,-3272643.18383374,5322769.01033843,2889587.01631072
964,-3272746.5327036,5322761.79427067,2889483.61938593
965,-3272849.86379939,5322754.58557983,2889380.22158941
966,-3272953.20952593,5322747.36493445,2889276.82183215
967,-3273056.55368073,5322740.1420001,2889173.42065872
968,-3273159.896307,5322732.91675019,2889070.01806918
969,-3273263.23731818,5322725.6892379,2888966.61406358
970,-3273366.5773431,5322718.4593731,2888863.20809739
971,-3273469.91458161,5322711.22737301,2888759.80180439
972,-3273573.25029148,5322703.99305705,2888656.39409602
973,-3273676.58505817,5322696.75636228,2888552.98442668
974,-3273779.90263623,5322689.52698368,2888449.57334153
975,-3273883.23417231,5322682.28576415,2888346.16084115
976,-3273986.56359392,5322675.04229297,2888242.74746916
977,-3274089.89202892,5322667.79646921,2888139.33213689
978,-3274193.21893496,5322660.54832985,2888035.91538902
979,-3274296.54481101,5322653.29786448,2887932.49668095
980,-3274399.8685292,5322646.04517375,2887829.077102
981,-3274503.19008952,5322638.79025772,2887725.65665226
982,-3274606.51066296,5322631.53298904,2887622.23424247
983,-3274709.82966397,5322624.27343138,2887518.81041732
984,-3274813.13151938,5322617.0211663,2887415.38517687
985,-3274916.4473754,5322609.75703096,2887311.95852117
986,-3275019.76165883,5322602.49060663,2887208.53045026
987,-3275123.0743264,5322595.22191993,2887105.10096421
988,-3275226.38550782,5322587.950891,2887001.67006305
989,-3275329.69507328,5322580.6775997,2886898.23774685
990,-3275433.00310925,5322573.40199278,2886794.80401564
991,-3275536.30894377,5322566.12418699,2886691.36941476
992,-3275639.61374761,5322558.84405534,2886587.93285371
993,-3275742.91706509,5322551.56158144,2886484.49487782
994,-3275846.20373565,5322544.28639254,2886381.05494238
995,-3275949.50386399,5322536.99936756,2886277.61413695
996,-3276052.80183393,5322529.71011745,2886174.17246158
997,-3276156.09881622,5322522.41851448,2886070.72882681
998,-3276259.39426867,5322515.12459589,2885967.28377745
999,-3276362.68806147,5322507.82844154,2885863.83731354
1000,-3276465.98036759,5322500.52994493,2885760.38943515
1001,-3276569.27047189,5322493.22924988,2885656.94068711
1002,-3276672.56017362,5322485.92613795,2885553.48943507
1003,-3276775.84771668,5322478.62080095,2885450.0373135
1004,-3276879.11807044,5322471.32278918,2885346.58377764
1005,-3276982.40246677,5322464.01287446,2885243.12882754
1006,-3277085.68416231,5322456.70077179,2885139.67355347
1007,-3277188.96536845,5322449.38630571,2885036.21577507
1008,-3277292.24508758,5322442.06949735,2884932.75658257
1009,-3277395.52318991,5322434.75042629,2884829.29597657
1010,-3277498.79976184,5322427.42903989,2884725.83395605
1011,-3277602.07471685,5322420.10539112,2884622.3705216
1012,-3277705.3480549,5322412.77947996,2884518.90567326
1013,-3277808.60428996,5322405.46084347,2884415.43941109
1014,-3277911.87452375,5322398.13032795,2884311.97173514
1015,-3278015.14314043,5322390.79755003,2884208.50264546
1016,-3278118.41026976,5322383.46242982,2884105.03214209
1017,-3278221.67519667,5322376.12511136,2884001.56077002
1018,-3278324.93972006,5322368.7853756,2883898.08689452
1019,-3278428.20208422,5322361.44341495,2883794.61215041
1020,-3278531.46233238,5322354.09920281,2883691.13653777
1021,-3278634.72154839,5322346.75266412,2883587.65896677
1022,-3278737.97919026,5322339.4038364,2883484.17998239
1023,-3278841.21964241,5322332.06233965,2883380.69958468
1024,-3278944.47413588,5322324.70893418,2883277.21777369
1025,-3279047.72705511,5322317.35323936,2883173.73455002
1026,-3279150.97902839,5322309.99516491,2883070.24936764
1027,-3279254.22821377,5322302.63495659,2882966.76386212
1028,-3279357.47636663,5322295.27242164,2882863.27639855
1029,-3279460.72298829,5322287.90757099,2882759.78752194
1030,-3279563.96749361,5322280.54046896,2882656.29777739
1031,-3279667.21096626,5322273.17104025,2882552.8060749
1032,-3279770.45286432,5322265.79932251,2882449.31295955
1033,-3279873.67757246,5322258.43493875,2882345.81843137
