Time,X(m),Y(m),Z(m)
52,-3177846.51648575,5328391.27738603,2983186.84289222
53,-3177951.278351,5328386.14596928,2983084.75767385
54,-3178056.03982769,5328381.01218735,2982982.66991811
55,-3178160.7991796,5328375.87616963,2982880.58123794
56,-3178265.55699986,5328370.73786438,2982778.49109575
57,-3178370.31333172,5328365.59724577,2982676.3994916
58,-3178475.06808852,5328360.45436545,2982574.30642553
59,-3178579.80508723,5328355.31857525,2982472.21243527
60,-3178684.55678043,5328350.17112017,2982370.11644553
61,-3178789.30694175,5328345.02137755,2982268.01899403
62,-3178894.05616422,5328339.86929553,2982165.91954312
63,-3178998.80271187,5328334.71500384,2982063.81970594
64,-3179103.54823397,5328329.55842442,2981961.71786945
65,-3179208.29231066,5328324.39950547,2981859.61457191
66,-3179313.0347686,5328319.23835094,2981757.50981234
67,-3179417.775781,5328314.07485719,2981655.40359131
68,-3179522.51462488,5328308.90915366,2981553.2964466
69,-3179627.23748954,5328303.7503876,2981451.18676504
70,-3179731.97386194,5328298.58005732,2981349.07615992
71,-3179836.70870203,5328293.40743948,2981246.96409353
72,-3179941.44200974,5328288.23253408,2981144.85056592
73,-3180046.17382835,5328283.05531526,2981042.73557716
74,-3180150.90347821,5328277.87588673,2980940.61966506
75,-3180255.63223187,5328272.69409278,2980838.50175412
76,-3180360.35940968,5328267.51003711,2980736.38238217
77,-3180465.08560454,5328262.32366766,2980634.26101145
78,-3180569.80912416,5328257.13508889,2980532.13925543
79,-3180674.51611447,5328251.95347663,2980430.01550074
80,-3180779.23720497,5328246.7602451,2980327.89028523
81,-3180883.95663278,5328241.56480355,2980225.76360896
82,-3180988.67461442,5328236.3670224,2980123.6354725
83,-3181093.39110648,5328231.16692812,2980021.50587486
84,-3181198.10542944,5328225.96462425,2979919.37535446
85,-3181302.81944855,5328220.75990265,2979817.24229777
86,-3181407.53070561,5328215.55302331,2979715.10885684
87,-3181512.24102251,5328210.34380453,2979612.97341704
88,-3181616.9335807,5328205.1416851,2979510.83705473
89,-3181721.64083142,5328199.92789145,2979408.69869417
90,-3181826.34659227,5328194.71178433,2979306.55887329
91,-3181931.05077661,5328189.49341548,2979204.41759215
92,-3182035.75334109,5328184.27281074,2979102.2748508
93,-3182140.45450218,5328179.04984082,2979000.13064928
94,-3182245.15408662,5328173.82460914,2978897.98498765
95,-3182349.85218098,5328168.597064,2978795.83786596
96,-3182454.5486986,5328163.3672571,2978693.68928425
97,-3182559.24368275,5328158.13516259,2978591.53924258
98,-3182663.92090798,5328152.91017061,2978489.38827897
99,-3182768.61282506,5328147.67350119,2978387.23531753
100,-3182873.30325186,5328142.43451796,2978285.0808968
101,-3182977.99269443,5328137.19322093,2978182.9244778
102,-3183082.68001055,5328131.94968863,2978080.76713706
103,-3183187.36579291,5328126.7038687,2977978.60833667
104,-3183292.04944876,5328121.45581354,2977876.44861467
105,-3183396.73216351,5328116.20541837,2977774.28689511
106,-3183501.41334439,5328110.95273556,2977672.12371603
107,-3183606.09299136,5328105.69776512,2977569.95907748
108,-3183710.7549225,5328100.44987451,2977467.79351758
109,-3183815.43205091,5328095.19030253,2977365.62542221
110,-3183920.10713916,5328089.92844361,2977263.45640558
111,-3184024.78065002,5328084.66432292,2977161.28592969
112,-3184129.45262673,5328079.39791458,2977059.11399458
113,-3184234.12306925,5328074.1292186,2976956.94060031
114,-3184338.79197755,5328068.85823498,2976854.76574693
115,-3184443.45880223,5328063.58499036,2976752.58997259
116,-3184548.12464197,5328058.30943114,2976650.41220167
117,-3184652.77390763,5328053.04087566,2976548.23243314
118,-3184757.43608596,5328047.76079431,2976446.05228193
119,-3184862.09732247,5328042.47837273,2976343.87013375
120,-3184966.7564752,5328037.19368991,2976241.68706542
121,-3185071.41459937,5328031.9067189,2976139.50199967
122,-3185176.07123226,5328026.61743436,2976037.3154752
123,-3185280.72633053,5328021.32586215,2975935.12749208
124,-3185385.37989412,5328016.03200227,2975832.93805034
125,-3185490.03196629,5328010.73582883,2975730.74715004
126,-3185594.6824604,5328005.43739361,2975628.55479123
127,-3185699.31578755,5328000.14601744,2975526.36097395
128,-3185803.96261948,5327994.84305988,2975424.16623647
129,-3185908.60850907,5327989.53776196,2975321.96950243
130,-3186013.25290701,5327984.23015046,2975219.77131008
131,-3186117.89572667,5327978.92027717,2975117.57165947
132,-3186222.53701131,5327973.6081162,2975015.37055064
133,-3186327.17731007,5327968.29364067,2974913.16744541
134,-3186431.81552454,5327962.976904,2974810.96342083
135,-3186536.45165463,5327957.65790686,2974708.75847592
136,-3186641.08679872,5327952.33659514,2974606.55153475
137,-3186745.70477555,5327947.02234552,2974504.34313562
138,-3186850.33625664,5327941.69651155,2974402.13381685
139,-3186954.96679487,5327936.36833706,2974299.92250196
140,-3187059.59584102,5327931.03784898,2974197.70972925
141,-3187164.22390087,5327925.70504622,2974095.49496048
142,-3187268.84987611,5327920.36998271,2973993.27927229
143,-3187373.47422924,5327915.03268331,2973891.06212644
144,-3187478.0970901,5327909.69307029,2973788.84352299
