38,38,38,37,38,28,28,28,28,28,28,28,32,32,32,32,37,32,32,32,32,32,32,32,32,32,32,32,32,41,32,32,29,32,32,37,32,32,32,32,26,32,32,32,18,32,32,33,32,32,32,32,32,32,33,31,32,30,32,32,32,35,32,32,32,32,32,34,32,32,32,32,59,32,32,28,27,32,32,27,32,28,32,32,32,32,27,21,21,32,32,32,39,31,36,21,36,39,39,39
50,50,50,43,50,45,45,45,45,45,45,45,32,32,32,32,32,32,32,32,32,32,42,36,31,28,33,32,32,32,32,32,32,32,32,32,41,32,32,39,40,32,32,32,32,34,32,32,32,32,32,32,32,32,37,32,24,32,32,32,33,34,32,32,32,32,32,28,32,32,32,32,33,32,32,55,46,47,32,32,32,32,32,32,27,32,32,33,36,37,32,32,27,31,27,41,27,45,27,27
50,50,50,45,50,36,36,36,36,36,36,36,38,38,38,32,38,38,38,38,38,38,38,38,38,39,42,41,38,38,38,38,38,38,38,37,38,38,38,38,39,35,38,38,40,38,38,38,38,38,38,38,38,38,38,33,38,38,38,38,38,38,38,38,40,38,38,38,38,38,38,38,40,38,38,53,30,38,38,38,39,35,38,38,38,38,38,38,67,38,38,38,32,32,32,45,32,32,32,32
35,35,35,56,35,64,64,64,64,64,64,64,64,64,64,59,64,64,64,64,64,64,54,49,64,64,52,64,63,55,64,64,64,64,69,45,49,56,64,67,61,49,64,64,46,40,64,64,64,47,64,64,64,64,47,41,64,55,64,63,64,45,48,64,64,64,64,39,48,64,64,64,34,64,64,40,62,46,64,42,61,64,64,64,64,64,54,70,36,52,64,64,30,36,48,49,35,43,30,30
50,50,50,50,50,50,50,50,38,38,38,38,33,33,33,53,38,33,33,33,33,33,33,33,34,33,57,46,40,45,33,33,36,33,33,52,33,48,33,74,54,46,33,33,33,33,33,33,33,33,28,33,39,39,39,47,39,52,39,52,42,36,39,39,39,39,39,39,39,39,39,39,39,39,39,54,42,39,39,39,39,44,60,39,54,73,54,39,39,46,39,39,54,39,46,54,54,30,54,54
49,49,48,48,49,49,49,49,49,49,49,49,49,49,49,49,36,49,49,49,49,49,49,41,29,36,49,49,42,46,49,49,49,49,41,49,46,41,49,37,35,58,49,49,49,61,49,49,49,49,45,49,49,49,49,42,46,43,49,49,36,51,49,49,36,49,49,49,46,49,49,49,55,42,49,49,49,49,49,49,49,42,49,49,49,49,49,49,49,49,49,49,45,41,45,31,51,43,45,45
50,49,49,52,49,49,49,49,49,49,49,49,47,47,47,47,43,47,47,47,47,47,47,63,49,47,42,47,47,64,57,47,47,47,62,47,47,47,47,47,47,49,47,47,47,47,47,47,47,47,47,47,42,42,59,39,42,43,42,42,47,42,58,42,40,42,42,40,69,42,42,42,32,36,42,41,42,42,42,42,37,42,31,42,42,42,42,43,45,42,48,42,35,35,50,35,35,45,35,35
58,58,58,58,58,38,38,38,50,50,50,50,54,54,54,60,58,54,54,54,54,54,54,41,51,54,59,54,54,54,54,54,54,54,42,45,42,54,54,41,54,59,54,54,54,74,54,54,54,54,54,54,54,55,48,54,56,46,54,40,54,51,41,54,54,54,54,44,45,54,54,54,54,54,54,54,54,59,54,59,54,52,54,54,54,54,54,35,37,54,54,54,54,54,42,47,54,48,54,54
50,52,52,62,52,43,43,43,43,43,43,43,43,43,43,44,43,43,43,43,43,43,34,43,62,49,43,51,45,64,42,43,43,43,52,43,54,43,43,43,35,43,43,43,53,43,43,43,43,43,48,43,43,43,41,43,46,43,43,43,43,49,43,43,66,43,43,43,46,43,43,43,43,43,43,43,43,43,43,54,51,43,43,43,42,43,43,50,54,43,51,43,60,63,72,48,60,60,60,60
50,50,50,55,50,50,50,50,50,50,50,50,50,50,50,55,50,50,50,50,50,50,50,62,50,50,50,59,67,48,50,50,50,50,62,49,50,53,50,50,42,50,50,50,56,58,50,50,50,50,50,50,50,50,51,53,50,76,50,64,68,53,50,50,50,50,50,47,52,50,50,50,50,50,50,50,45,62,50,49,51,50,50,50,50,50,50,68,70,50,64,50,84,84,67,84,66,84,84,84
